"BSI";"Name";"Start";"End";"Effort";"Cost";"Revenue";
1;"Project Start";"2018-07-01";"2018-07-01";0.0;0;0;
2;"Complete Project";"2018-07-01";"2019-05-28";238.5;"61,344";"80,000";
3.3;"  AY";"";"";31.8;0;0;
1;"  The Big Boss";"";"";87.0;0;0;
3.2;"  JB";"";"";30.6;0;0;
2;"  The painter";"";"";58.5;0;0;
3.1;"  PJ";"";"";30.6;0;0;
2.1;"  Making the Goods";"2018-07-01";"2018-08-31";71.0;"14,244";0;
3.3;"    AY";"";"";24.3;0;0;
3.2;"    JB";"";"";23.4;0;0;
3.1;"    PJ";"";"";23.4;0;0;
"2.1.1";"    Buy the materials";"2018-07-01";"2018-07-31";1.0;250;0;
3.3;"      AY";"";"";1.0;0;0;
"2.1.2";"    Glue everything together";"2018-07-31";"2018-08-17";40.0;"7,994";0;
3.3;"      AY";"";"";13.3;0;0;
3.2;"      JB";"";"";13.4;0;0;
3.1;"      PJ";"";"";13.4;0;0;
"2.1.3";"    Clean up the mess";"2018-08-17";"2018-08-31";30.0;"6,000";0;
3.3;"      AY";"";"";10.0;0;0;
3.2;"      JB";"";"";10.0;0;0;
3.1;"      PJ";"";"";10.0;0;0;
2.2;"  Refining the Goods";"2018-08-31";"2019-02-27";80.5;"18,113";0;
3.3;"    AY";"";"";7.5;0;0;
3.2;"    JB";"";"";7.3;0;0;
2;"    The painter";"";"";58.5;0;0;
3.1;"    PJ";"";"";7.3;0;0;
"2.2.1";"    Paint the items";"2018-08-31";"2018-10-11";15.0;"3,000";0;
2;"      The painter";"";"";15.0;0;0;
"2.2.2";"    Screw bells onto items";"2018-10-11";"2018-10-29";21.8;"6,350";0;
3.3;"      AY";"";"";7.3;0;0;
3.2;"      JB";"";"";7.3;0;0;
3.1;"      PJ";"";"";7.3;0;0;
"2.2.2.1";"      Buy bells";"2018-10-11";"2018-10-18";0.0;"2,000";0;
"2.2.2.2";"      Use screwdriver";"2018-10-18";"2018-10-29";21.8;"4,350";0;
3.3;"        AY";"";"";7.3;0;0;
3.2;"        JB";"";"";7.3;0;0;
3.1;"        PJ";"";"";7.3;0;0;
"2.2.3";"    Repaint the items";"2018-10-29";"2019-02-27";43.5;"8,700";0;
2;"      The painter";"";"";43.5;0;0;
"2.2.4";"    Explain to Boss what you spent the last 3 months doing";"2019-02-27";"2019-02-27";0.3;63;0;
3.3;"      AY";"";"";0.3;0;0;
2.3;"  Selling the Goods";"2019-02-27";"2019-05-28";87.0;"28,988";0;
1;"    The Big Boss";"";"";87.0;0;0;
2.4;"  Get paid for the goods";"2019-05-28";"2019-05-28";0.0;0;"80,000";
