"BSI";"Name";"Scenario";"Start";"End";"Effort";"Cost";"Revenue";
1;"Project Start";"Initial Plan";"2018-07-01";"2018-07-01";0.0;0;0;
"";"";"Actual Plan Execution";"2018-07-01";"2018-07-01";0.0;0;0;
"";"";"Plan B";"2018-07-01";"2018-07-01";0.0;0;0;
2;"Complete Project";"Initial Plan";"2018-07-01";"2019-05-28";238.5;"61,344";"80,000";
"";"";"Actual Plan Execution";"2018-07-01";"2019-07-09";298.5;"72,806";"80,000";
"";"";"Plan B";"2018-07-01";"2019-09-11";341.8;"81,588";"80,000";
3.3;"  AY";"Initial Plan";"";"";31.8;0;0;
"";"";"Actual Plan Execution";"";"";41.3;0;0;
"";"";"Plan B";"";"";31.3;0;0;
1;"  The Big Boss";"Initial Plan";"";"";87.0;0;0;
"";"";"Actual Plan Execution";"";"";87.0;0;0;
"";"";"Plan B";"";"";87.0;0;0;
3.2;"  JB";"Initial Plan";"";"";30.6;0;0;
"";"";"Actual Plan Execution";"";"";50.9;0;0;
"";"";"Plan B";"";"";38.8;0;0;
4.1;"  NG 1";"Initial Plan";"";"";0.0;0;0;
"";"";"Actual Plan Execution";"";"";0.0;0;0;
"";"";"Plan B";"";"";18.8;0;0;
4.2;"  NG 2";"Initial Plan";"";"";0.0;0;0;
"";"";"Actual Plan Execution";"";"";0.0;0;0;
"";"";"Plan B";"";"";18.6;0;0;
4.3;"  NG 3";"Initial Plan";"";"";0.0;0;0;
"";"";"Actual Plan Execution";"";"";0.0;0;0;
"";"";"Plan B";"";"";18.6;0;0;
2;"  The painter";"Initial Plan";"";"";58.5;0;0;
"";"";"Actual Plan Execution";"";"";68.5;0;0;
"";"";"Plan B";"";"";90.1;0;0;
3.1;"  PJ";"Initial Plan";"";"";30.6;0;0;
"";"";"Actual Plan Execution";"";"";50.9;0;0;
"";"";"Plan B";"";"";38.8;0;0;
2.1;"  Making the Goods";"Initial Plan";"2018-07-01";"2018-08-31";71.0;"14,244";0;
"";"";"Actual Plan Execution";"2018-07-01";"2018-09-07";121.0;"24,250";0;
"";"";"Plan B";"2018-07-01";"2018-08-24";121.0;"24,250";0;
3.3;"    AY";"Initial Plan";"";"";24.3;0;0;
"";"";"Actual Plan Execution";"";"";41.0;0;0;
"";"";"Plan B";"";"";31.0;0;0;
3.2;"    JB";"Initial Plan";"";"";23.4;0;0;
"";"";"Actual Plan Execution";"";"";40.0;0;0;
"";"";"Plan B";"";"";30.0;0;0;
