"BSI";"Name";"Scenario";"Effort (days)";
1;"The Big Boss";"Initial Plan";87.0;
"";"";"Actual Plan Execution";87.0;
"";"";"Plan B";87.0;
3;"The crew";"Initial Plan";93.0;
"";"";"Actual Plan Execution";143.0;
"";"";"Plan B";108.8;
3.3;"  AY";"Initial Plan";31.8;
"";"";"Actual Plan Execution";41.3;
"";"";"Plan B";31.3;
3.2;"  JB";"Initial Plan";30.6;
"";"";"Actual Plan Execution";50.9;
"";"";"Plan B";38.8;
3.1;"  PJ";"Initial Plan";30.6;
"";"";"Actual Plan Execution";50.9;
"";"";"Plan B";38.8;
4;"Additional Crew Members";"Initial Plan";0.0;
"";"";"Actual Plan Execution";0.0;
"";"";"Plan B";56.0;
4.1;"  NG 1";"Initial Plan";0.0;
"";"";"Actual Plan Execution";0.0;
"";"";"Plan B";18.8;
4.2;"  NG 2";"Initial Plan";0.0;
"";"";"Actual Plan Execution";0.0;
"";"";"Plan B";18.6;
4.3;"  NG 3";"Initial Plan";0.0;
"";"";"Actual Plan Execution";0.0;
"";"";"Plan B";18.6;
2;"The painter";"Initial Plan";58.5;
"";"";"Actual Plan Execution";68.5;
"";"";"Plan B";90.1;
